species	taxid
Bacillus megaterium DSM319  592022     
Bacillus subtilis 168	1423
Clostridium acetobutylicum ATCC824	1488
Ruminclostridium cellulolyticum	1521 
E. coli MG1655	511145 
Salmonella enterica spp. typhimurium LT2	28901
Campylobacter jejuni 81-176	197
Klebsiella pneumoniae ATCC 13882	573
Streptomyces venezuelae DSM40230	54571
Streptomyces griseus NBRC13350	1911
Streptomyces coelicolor M1152	1902
Thermus thermophilus HB8	300852
Geobacillus stearothermophilus ATCC12980	1422
Shewanella putrefaciens CN-32	319224
Cellvibrio japonicus Ueda107	498211
Burkholderia ambifaria DSM 16087	152480
Alkalitalea saponilacus DSM 24412	889453
Pseudomonas aeruginosa PAO1	208964
Pseudomonas putida KT2440	160488
Pseudomonas protegens Pf-5	220664
Pseudomonas stutzeri A1501	379731 
Pseudomonas umsongensis HM	198618
Halomonas elongata DSM2581	2746
Bacteroides thetaiotaomicron VPI-5482	226186
Bacteroides cellulosilyticus DSMZ14838	246787
Paenibacillus polymyxa ATCC842	1406
Chroococcidiopsis thermalis PCC 7005	54299
Synechocystis sp. PCC 6803	1148
Thermosynechococcus vestitus BP-1	197221
Vibrio fischeri ES114	312309 
Vibrio natriegens	691
Komogateibacter rhaeticus	215221
Bifidobacterium breve UCC2003	326426
Salipaludibacillus agaradhaerens DSM8721	76935

