accession	ec_numbers	KM_values	pH_optima	Topt
A0A023I7E1	3.2.1.39			
A0A023MIF8	3.2.1.21	0.47;0.46;0.51;0.53;0.58;0.64;0.65;0.68;0.77;0.81;0.87;2.01;0.52		
A0A075EKG1	3.2.1.21			
A0A076JRL8	3.2.1.21	0.2;0.38		
A0A088BCU2	3.2.1.6;3.2.1.73			
A0A097PII4	3.2.1.39			
A0A097PII7	3.2.1.39			
A0A097QQT4	3.2.1.73			
A0A0B4RUW2	3.2.1.21;3.2.1.58	0.17;0.92;1.26;;2.29;2.32;4.15;3.7;0.17;0.92;1.26;;2.29;2.32;3.7;4.15		
A0A0B5GQL6	3.2.1.39	0.39		
A0A0F6NWE3	3.2.1.14			
A0A0F6QU36	3.2.1.73	;		
A0A0F7H1P7	3.2.1.73			
A0A0K0M737	3.2.1.39			
A0A0K1P4J7	3.2.1.73			
A0A0K2GVV7	3.2.1.6			
A0A0M4NIK2	3.2.1.73			
A0A0P0IZM9	3.2.1.6			
A0A0P0UPC6	3.2.1.39;3.2.1.6	1.21;2.39;2.73		
A0A0S2UQ60	3.2.1.6	;		
A0A0U2RV57	3.2.1.6			
A0A140GE99	3.2.1.14			
A0A146FAY1	3.2.1.14	0.127		
A0A146FAZ1	3.2.1.14	0.885		
A0A172Q4D8	3.2.1.14	0.3152		
A0A182AUG2	3.2.1.58			
A0A191KCR0	3.2.1.21	0.2;6.63		
A0A191KCR1	3.2.1.21	0.9;2.45;8.44		
A0A191KCR2	3.2.1.21	1.51;1.99;2.37;2.42;2.48		
A0A1C8C9F4	3.2.1.39			
A0A1C8L3J5	3.2.1.73			
A0A1E1FFN6	3.2.1.21	2.22;0.85;0.14;0.39;0.49;0.65;0.71;0.77;0.83;0.98;1.3;13.3;17.6;2.43;2.65;3.61;3.93;3.99;34.3;5.0;6.18;7.44;7.65;7.69;8.21;0.47;0.21		
A0A1S4NYE1	3.2.1.39			
A0A1W6AKT2	3.2.1.39;3.2.1.73	0.272;0.27;0.3		
A0A221ZS22	3.2.1.14	0.00223;0.01193;0.01527;0.01552		
A0A223GEG1	3.2.1.39			
A0A286JZ72	3.2.1.14	;		
A0A286LWZ1	3.2.1.14			
A0A2I2LGB3	3.2.1.21			
A0A2V5HJX1	3.2.1.73			
A0A346PYQ5	3.2.1.73			
A0A386YJ14	3.2.1.73			
A0A3G1VCA8	3.2.1.21			
A0A3G1VCA9	3.2.1.21			
A0A3G1VCB1	3.2.1.21	1.9;2.5;4.1		
A0A3G1VCB6	3.2.1.21			
A0A3G1ZIV1	3.2.1.73			
A0EQW8	3.2.1.14			
A0MWE0	3.2.1.14			
A0MWE1	3.2.1.14			
A1C3J9	3.2.1.21			
A1EH92	3.2.1.21			
A1IJ67	3.2.1.14			
A1S0B1	3.2.1.21	0.147;0.149;0.189		
A3DBX3	3.2.1.73			
A4PHQ5	3.2.1.39			
A4XIG7	3.2.1.21	0.44;0.67;1.93		
A5A4M8	3.2.1.21	1.58;0.09		
A5A699	3.2.1.14			
A5IL43	3.2.1.21	2.32;3.03		
A5IL44	3.2.1.39			
A5IL97	3.2.1.21	2.8;2.8;25.0;25.0;4.3;4.3		
A5YRG4	3.2.1.14			
A6YJX1	3.2.1.14			
A6YQV6	3.2.1.39			
A7M6A0	3.2.1.14			
A7PQW3	3.2.1.39	0.228		
A8CGP1	3.2.1.6;3.2.1.73	;		
A8N2G5	3.2.1.39;3.2.1.6	;		
A8N2Z2	3.2.1.58			
A8NIX3	3.2.1.21	2.0		
A8NNP9	3.2.1.58	0.48;3.27		
A8NVR5	3.2.1.39			
A9LI60	3.2.1.14			
A9UIG0	3.2.1.21	0.19;11.57;22.5;4.73;0.04;0.5;0.04;0.5;0.19		
A9YZW0	3.2.1.58			
A9Z0X6	3.2.1.73			
B0LS89	3.2.1.14	0.019;0.078		
B1B6T0	3.2.1.14			
B1VBB0	3.2.1.14	0.101;0.37;0.416;0.5;0.555		
B2W4L0	3.2.1.58			
B3A042	3.2.1.14			
B3GGC7	3.2.1.14			
B3VFX0	3.2.1.14			
B3VTS4	3.2.1.39			
B3XZQ2	3.2.1.14			
B4XEK5	3.2.1.39			
B4XEK7	3.2.1.39			
B5L0W0	3.2.1.14	0.00965		
B5L6N2	3.2.1.14			
B6ZKM3	3.2.1.21	0.1;0.19;0.29;0.32;0.39		
B7UB89	3.2.1.14	0.03;0.06;0.1;0.11		
B7XCV4	3.2.1.14			
B8CYA8	3.2.1.21	10.0;10.3;11.9;20.2;23.2;26.3;29.1;3.5;30.8;41.3;9.0;93.2		
B9K7M5	3.2.1.21	0.3;0.22;0.64;0.17;0.24;0.09;0.13;0.15;0.31;0.43;0.19		
C0JR29	3.2.1.14			
C1IE32	3.2.1.39			
C1K2M3	3.2.1.14			
C3VMY4	3.2.1.58			
C3VPJ1	3.2.1.39			
C6GFH7	3.2.1.39			
C6L684	3.2.1.39			
C9E9M9	3.2.1.21	5.1		
D2C716	3.2.1.21	0.45;1.11;1.34;2.35;2.95;7.35		
D2DRB6	3.2.1.73			
D3GG13	3.2.1.14	0.007		
D3VYD8	3.2.1.21	0.164		
D3YGV3	3.2.1.14			
D5KX75	3.2.1.21	0.39;20.4		
D7PC10	3.2.1.6			
D8V3F2	3.2.1.14			
D9DBT4	3.2.1.58			
E0XN39	3.2.1.73			
E2DQY5	3.2.1.73			
E5FGC5	3.2.1.14			
E5RWQ2	3.2.1.21			
E7FHY4	3.2.1.21	20.3		
E9SCT3	3.2.1.73			
F4H166	3.2.1.58	1.5		
F6HLL8	3.2.1.39	0.081		
F8WPI4	3.2.1.75			
F8WSQ0	3.2.1.14			
F8WSQ1	3.2.1.14			
F8WSQ2	3.2.1.14			
F8WSQ3	3.2.1.14			
F8WSQ4	3.2.1.14			
G0L5X4	3.2.1.39;3.2.1.73			
G0S3N2	3.2.1.58			
G0YW23	3.2.1.73			
G1C1T5	3.2.1.21			
G1ED17	3.2.1.39			
G2QDN2	3.2.1.21	0.39;2.64		
G5DE31	3.2.1.58			
G9M5R4	3.2.1.39			
H0HC94	3.2.1.21	1.85;10.1;10.14;12.5;13.3;19.6;2.61;2.7;2.9;22.4;3.1;5.0;5.5;6.8;7.0;8.0;8.3;8.5		
H6UWP3	3.2.1.58			
H9BZ70	3.2.1.73	;1.4;2.0		
H9CWQ0	3.2.1.14	0.175		
I1W007	3.2.1.73			
I3W8N0	3.2.1.73			
I3W8N1	3.2.1.73			
I3W8N2	3.2.1.73			
I3W8N3	3.2.1.73			
I6TNE2	3.2.1.21	4.04		
K0A689	3.2.1.73			
K7XFI7	3.2.1.73			
K7ZLW6	3.2.1.14	;0.14		
M9XGK2	3.2.1.73			
O07242	3.2.1.39			
O52754	3.2.1.6			
O61594	3.2.1.21	0.08;0.38;0.59;0.62;0.65;0.66;0.67;0.71;0.9;1.04;1.05;1.2;1.26;1.56;1.7;2.1;2.3;2.4;2.6;2.6;2.9;3.6;4.4;4.7;4.9;4.9;6.2;6.2;6.3;8.2;9.0;9.9		
O68641	3.2.1.39	0.35;0.41;0.44;0.46;0.48		
O73951	3.2.1.39	;0.2;0.77;1.0;2.9;		
O82716	3.2.1.39			
O93785	3.2.1.21			
P04957	3.2.1.73	2.1;3.1		
P07254	3.2.1.14			
P07337	3.2.1.21			
P07980	3.2.1.73			
P10478	3.2.1.73			
P10482	3.2.1.21			
P11797	3.2.1.14			
P11955	3.2.1.14			
P12257	3.2.1.73			
P17989	3.2.1.73			
P19254	3.2.1.73			
P22073	3.2.1.21	100.0		
P22222	3.2.1.39			
P23951	3.2.1.14			
P24626	3.2.1.14			
P26208	3.2.1.21			
P27051	3.2.1.73			
P29022	3.2.1.14			
P29029	3.2.1.14	0.8;1.0;1.1		
P29030	3.2.1.14			
P29717	3.2.1.58			
P37073	3.2.1.73			
P45798	3.2.1.73			
P48825	3.2.1.21			
P48827	3.2.1.14	0.9;1.1		
P49235	3.2.1.21	0.031;0.045;0.047;0.058;0.066;0.076;0.092;0.101;0.12;0.148;0.16;0.164;0.23;0.33;0.37;0.395;0.41;0.42;0.43;0.49;0.55;0.625;0.65;0.68;0.76;0.94;1.04;1.06;1.15;1.21;1.22;1.24;1.51;1.65;1.7;1.73;1.85;1.86;1.87;1.88;2.1;3.5;3.76;0.9;0.45;0.64;0.065		
P49426	3.2.1.58			
P82288	3.2.1.75			
P85084	3.2.1.14			
P86181	3.2.1.14			
Q000P7	3.2.1.39;3.2.1.6			
Q02126	3.2.1.39			
Q068W1	3.2.1.14			
Q06AK1	3.2.1.14			
Q06HA3	3.2.1.14			
Q08IT7	3.2.1.21	0.019;0.025;0.025;0.032		
Q0GA07	3.2.1.21	0.05;4.84;6.05		
Q0GC07	3.2.1.21	0.042;0.047;0.06;0.08;0.09;0.17		
Q0WT03	3.2.1.14			
Q0WYK2	3.2.1.14			
Q0Z942	3.2.1.14			
Q0ZUL0	3.2.1.21	0.37;3.25;0.24;1.25		
Q12713	3.2.1.14			
Q1EM71	3.2.1.14	0.009;0.129		
Q1EMA6	3.2.1.73			
Q1ERF7	3.2.1.39			
